court	docket_date	case_count	case_numbers
1-1	2025-02-11	8	251100030560, 251100030544, 251100030565, 251100030697, 251100030484, 251100030705, 251100030553, 251100030495
1-1	2025-02-10	2	251100030736, 251100030743
1-1	2025-02-11	7	251100030718, 251100030898, 251100030764, 251100030867, 251100030680, 251100030702, 251100030756
1-1	2025-02-10	1	251100030785
1-1	2025-02-11	3	251100030838, 251100030938, 251100030848
1-1	2025-02-10	1	251100030794
1-1	2025-02-11	3	251100031164, 251100031192, 251100031125
1-1	2025-02-19	1	251100031192
1-1	2025-02-11	5	251100031136, 251100031196, 251100031270, 251100031157, 251100031190
1-1	2025-02-25	1	251100031190
1-1	2025-02-11	10	251100031283, 251100031331, 251100031329, 251100031275, 251100031288, 251100031301, 251100031264, 251100031325, 251100031291, 251100031260
1-1	2025-02-18	1	251100031331
1-1	2025-02-11	4	251100031344, 251100031350, 251100031296, 251100031523
1-1	2025-02-03	1	251100031527
1-1	2025-02-11	4	251100031519, 251100031521, 251100031517, 251100031526
1-1	2025-02-03	1	251100031528
1-1	2025-02-11	1	251100031528
1-1	2025-02-10	1	251100031530
1-1	2025-02-03	1	251100031530
1-1	2025-02-11	1	251100031529
1-1	2025-02-03	2	251100031535, 251100031533
1-1	2025-02-10	1	251100031535
1-1	2025-02-11	1	251100031532
1-1	2025-02-03	1	251100031531
1-1	2025-02-10	1	251100031531
1-1	2025-02-11	2	251100031536, 251100031534
1-1	2025-02-06	1	251100031539
1-1	2025-02-03	1	251100031539
1-1	2025-02-17	1	251100031539
1-1	2025-02-03	1	251100031537
1-1	2025-02-17	1	251100031537
1-1	2025-02-11	1	251100033447
1-1	2025-02-06	1	251100031538
1-1	2025-02-03	1	251100031538
1-1	2025-02-17	1	251100031538
1-1	2025-02-11	6	251100033424, 251100033475, 251100033477, 251100033459, 251100033454, 251100033456
1-1	2025-02-12	1	251100033557
1-1	2025-02-11	1	251100033471
1-1	2025-02-12	2	251100033564, 251100033566
1-1	2025-02-19	1	251100033566
1-1	2025-02-12	5	251100033582, 251100033587, 251100033671, 251100033575, 251100033571
1-1	2025-02-25	1	251100033587
1-1	2025-02-12	1	251100033648
1-1	2025-02-27	1	251100033648
1-1	2025-02-12	2	251100033981, 251100033726
1-1	2025-02-17	1	251100033726
1-1	2025-02-12	1	251100034089
1-1	2025-02-19	1	251100034089
1-1	2025-02-12	3	251100034081, 251100034090, 251100034036
1-1	2025-03-04	1	251100034036
1-1	2025-02-12	5	251100034082, 251100034093, 251100034095, 251100034142, 251100034096
1-1	2025-02-19	1	251100034142
1-1	2025-02-12	10	251100034132, 251100034120, 251100034129, 251100034242, 251100034203, 251100034349, 251100034290, 251100034322, 251100034139, 251100034104
1-1	2025-02-19	1	251100034349
1-1	2025-02-12	3	251100034370, 251100034382, 251100034372
1-1	2025-02-18	1	251100034372
1-1	2025-02-12	3	251100034401, 251100034378, 251100035041
1-1	2025-03-04	1	251100035041
1-1	2025-04-01	1	251100035041
1-1	2025-02-12	4	251100034999, 251100035053, 251100035192, 251100034388
1-1	2025-02-19	1	251100035192
1-1	2025-02-12	5	251100035065, 251100035207, 251100035194, 251100035197, 251100035195
1-1	2025-02-17	1	251100035234
1-1	2025-02-12	3	251100035200, 251100035341, 251100035204
